player,initial_position,add_position,round
Izak Rankine,FWD,MID,6
Daniel Curtin,FWD,MID,6
Rory Laird,MID,DEF,6
James Peatling,MID,FWD,6
Sid Draper,MID,FWD,6
Jaspa Fletcher,MID,DEF,6
Levi Ashcroft,MID,FWD,6
Lewis Young,DEF,FWD,6
Cooper Lord,MID,FWD,6
Jack Silvagni,FWD,DEF,6
Brodie Kemp,DEF,FWD,6
Oliver Hollands,MID,DEF,6
Harry Perryman,DEF,MID,6
Josh Daicos,MID,DEF,6
Reef McInnes,FWD,DEF,6
Dylan Shiel,MID,DEF,6
Sam Draper,RUCK,FWD,6
Harrison Jones,FWD,MID,6
Nic Martin,DEF,FWD,6
Archie Perkins,MID,FWD,6
Murphy Reid,MID,FWD,6
Sam De Koning,DEF,RUCK,6
Patrick Dangerfield,MID,FWD,6
Mark Blicavs,MID,DEF,6
Lachie Weller,DEF,MID,6
Connor Budarick,DEF,MID,6
Will Graham,MID,FWD,6
Stephen Coniglio,MID,FWD,6
Conor Stone,FWD,DEF,6
Blake Hardwick,DEF,FWD,6
Changkuoth Jiath,MID,DEF,6
Tom Sparrow,MID,FWD,6
Kade Chandler,FWD,MID,6
Christian Petracca,MID,FWD,6
Harrison Petty,FWD,DEF,6
Harry Sharp,MID,FWD,6
Jack Henderson,MID,FWD,6
Caleb Windsor,MID,DEF,6
Will Phillips,MID,FWD,6
Colby McKercher,DEF,MID,6
Robert Hansen Jr,FWD,MID,6
Finn O'Sullivan,MID,DEF,6
Harry Sheezel,DEF,MID,6
Travis Boak,MID,FWD,6
Jase Burgoyne,MID,DEF,6
James Trezise,DEF,MID,6
Jack Ross,MID,FWD,6
Tyler Sonsie,FWD,MID,6
Sam Lalor,MID,FWD,6
Jacob Blight,DEF,FWD,6
Jack Macrae,FWD,MID,6
Ryan Byrnes,MID,DEF,6
Anthony Caminiti,FWD,DEF,6
Angus Hastie,MID,DEF,6
Joel Hamling,FWD,DEF,6
Oliver Florent,DEF,MID,6
Sam Wicks,FWD,DEF,6
Chad Warner,MID,FWD,6
Braeden Campbell,MID,FWD,6
Tom McCartin,DEF,FWD,6
Corey Warner,FWD,MID,6
Tom Hanily,MID,FWD,6
Reuben Ginbey,MID,DEF,6
Tyrell Dewar,FWD,MID,6
Harley Reid,MID,DEF,6
Oskar Baker,MID,DEF,6
Harvey Gallagher,MID,DEF,6
Joel Freijah,DEF,MID,6
James O'Donnell,DEF,FWD,6
Sam Davidson,FWD,MID,6
Luke Nankervis,DEF,MID,12
Lachlan Sullivan,MID,FWD,12
Corey Wagner,DEF,MID,12
Jack Bowes,MID,DEF,12
Bailey Humphrey,FWD,MID,12
Toby McMullin,FWD,MID,12
Jake Riccardi,FWD,RUCK,12
Jacob Wehr,MID,DEF,12
Kysaiah Pickett,FWD,MID,12
Daniel Turner,FWD,DEF,12
Connor Rozee,MID,DEF,12
Sam Banks,MID,DEF,12
Justin McInerney,MID,FWD,12
Jack Hutchinson,FWD,MID,12
Tom Gross,MID,FWD,12
Brady Hough,DEF,MID,12
Buku Khamis,DEF,FWD,12
Bailey Williams,MID,DEF,12
Sam Docherty,MID,DEF,18
Bailey Banfield,FWD,DEF,18
Oisin Mullin,DEF,MID,18
Mitch Duncan,DEF,MID,18
Toby Pink,FWD,DEF,18
Aaron Francis,DEF,FWD,18
Tim Kelly,MID,FWD,18
Bailey J. Williams,RUCK,FWD,18
